id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2085208,Модуль 2,108,6608,choice,,10,74164,,Б1.В.ДВ.02,73
2085209,Энергоменеджмент,108,6608,subject,"2,085,208",11,74164,19,Б1.В.ДВ.02.01,73
2085210,Управление инженерными проектами,108,6608,subject,"2,085,208",12,74164,8,Б1.В.ДВ.02.02,73
2106843,Модуль 3,216,6608,choice,,13,74164,,Б1.В.ДВ.03,112
2085217,Интеллектуальные системы управления,216,6608,subject,"2,106,843",14,74164,25,Б1.В.ДВ.03.01,112
2085218,Нейронные сети для математического моделирования устройств и систем,216,6608,subject,"2,106,843",15,74164,29,Б1.В.ДВ.03.02,112
2085216,Модуль 4,144,6608,choice,,16,74164,,Б1.В.ДВ.04,92
2085181,Методы и средства технической диагностики судового электрооборудования,144,6608,subject,"2,085,216",17,74164,25,Б1.В.ДВ.04.01,92
2085203,Информационно-управляющие системы технических средств корабля,144,6608,subject,"2,085,216",18,74164,12,Б1.В.ДВ.04.02,92
2085180,Модуль 5,144,6608,choice,,19,74164,,Б1.В.ДВ.05,57
2085220,Судовые системы электродвижения,144,6608,subject,"2,085,180",20,74164,25,Б1.В.ДВ.05.01,57
2085224,Статические преобразователи энергии судовых систем электродвижения,144,6608,subject,"2,085,180",21,74164,25,Б1.В.ДВ.05.02,92
2085219,Модуль 6,144,6608,choice,,22,74164,,Б1.В.ДВ.06,92
2085223,Проектирование и конструирование электромеханических систем автономных сервисных роботов,144,6608,subject,"2,085,219",23,74164,25,Б1.В.ДВ.06.01,92
2085226,Преобразователи частоты,144,6608,subject,"2,085,219",24,74164,25,Б1.В.ДВ.06.02,92
2085221,Модуль 7,72,6608,choice,,25,74164,,Б1.В.ДВ.07,37
2085212,Системы обеспечения безопасности технических средств управления,72,6608,subject,"2,085,221",26,74164,39,Б1.В.ДВ.07.01,37
2085213,Электромагнитная совместимость  электрооборудования автономных объектов,72,6608,subject,"2,085,221",27,74164,39,Б1.В.ДВ.07.02,37
2085211,Модуль 8,144,6608,choice,,28,74164,,Б1.В.ДВ.08,57
2085185,Системы управления гребными электрическими установками,144,6608,subject,"2,085,211",29,74164,25,Б1.В.ДВ.08.01,57
2085188,Акустическое проектирование электроэнергетического оборудования,144,6608,subject,"2,085,211",30,74164,25,Б1.В.ДВ.08.02,57
2085184,Модуль 9,144,6608,choice,,31,74164,,Б1.В.ДВ.09,57
2085187,Микропроцессорные системы управления автономными электроэнергетическими системами,144,6608,subject,"2,085,184",32,74164,25,Б1.В.ДВ.09.01,57
