ID,FileName,Title,StudyYear,SpecialtyId,DepartmentId,StudyFormId,StudyLevelId,StudyPeriod
6523,11.05.01_21_813.plx,11.05.01  Радиоэлектронные системы и комплексы,2023-2024,269,20,1,1,5
6532,11.05.01_22_812.plx,11.05.01  Радиоэлектронные системы и комплексы,2023-2024,269,28,1,1,5
6539,11.05.01_23_819.plx,11.05.01  Радиоэлектронные системы и комплексы,2023-2024,269,22,1,1,5
6724,12.03.01_20_353.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6725,12.03.01_20_354.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6726,12.03.01_20_355.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6727,12.03.01_20_356.plx,12.03.01 Приборостроение,2023-2024,296,10,1,2,4
7210,12.03.01_21_356.plx,12.03.01 Приборостроение,2023-2024,296,10,1,2,4
6734,12.03.01_22_353.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6735,12.03.01_22_354.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6736,12.03.01_22_355.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6737,12.03.01_22_356.plx,12.03.01 Приборостроение,2023-2024,296,10,1,2,4
6738,12.03.01_22_359.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6879,12.03.01_23_352.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6741,12.03.01_23_353.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6778,12.03.01_23_354.plx,12.03.01 Приборостроение,2023-2024,296,34,1,2,4
6742,12.03.01_23_355.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6743,12.03.01_23_356.plx,12.03.01 Приборостроение,2023-2024,296,10,1,2,4
6880,12.03.01_23_358.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6889,12.03.01_23_359.plx,12.03.01 Приборостроение,2023-2024,296,13,1,2,4
6730,12.03.04_19_909.plx,12.03.04 Биотехнические системы и технологии,2023-2024,1759,3,3,2,5
6731,12.03.04_19_989.plx,12.03.04 Биотехнические системы и технологии,2023-2024,1762,3,2,2,5
6728,12.03.04_20_351.plx,12.03.04 Биотехнические системы и технологии,2023-2024,262,3,1,2,4
6739,12.03.04_22_351.plx,12.03.04 Биотехнические системы и технологии,2023-2024,262,3,1,2,4
7129,12.03.04_23_151.plx,12.03.04 Биотехнические системы и технологии,2023-2024,262,31,1,2,4
6745,12.03.04_23_351.plx,12.03.04 Биотехнические системы и технологии,2023-2024,262,3,1,2,4
6748,12.04.01_22_285.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6749,12.04.01_22_782.plx,12.04.01 Приборостроение,2023-2024,302,34,1,3,2
6750,12.04.01_22_783.plx,12.04.01 Приборостроение,2023-2024,302,34,1,3,2
6751,12.04.01_22_784.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6752,12.04.01_22_785.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6753,12.04.01_22_786.plx,12.04.01 Приборостроение,2023-2024,302,10,1,3,2
6754,12.04.01_22_787.plx,12.04.01 Приборостроение,2023-2024,302,10,1,3,2
6755,12.04.01_22_789.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6762,12.04.01_23_285.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
7150,12.04.01_23_285с.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
7151,12.04.01_23_286с.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
7147,12.04.01_23_782с.plx,12.04.01 Приборостроение,2023-2024,302,34,1,3,2
7163,12.04.01_23_782с1.plx,12.04.01 Приборостроение,2023-2024,302,34,1,3,2
6764,12.04.01_23_783.plx,12.04.01 Приборостроение,2023-2024,302,34,1,3,2
6765,12.04.01_23_784.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6766,12.04.01_23_785.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6767,12.04.01_23_786.plx,12.04.01 Приборостроение,2023-2024,302,10,1,3,2
6768,12.04.01_23_787.plx,12.04.01 Приборостроение,2023-2024,302,10,1,3,2
6769,12.04.01_23_789.plx,12.04.01 Приборостроение,2023-2024,302,13,1,3,2
6732,12.04.04_20_651.plx,12.04.04 Биотехнические системы и технологии,2023-2024,1763,3,2,3,2
6756,12.04.04_22_200.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6733,12.04.04_22_651.plx,12.04.04 Биотехнические системы и технологии,2023-2024,1763,3,2,3,2
6757,12.04.04_22_702.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6758,12.04.04_22_703.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6759,12.04.04_22_704.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
